name;short_description;nc_variable_name;alias;column_index;line_index;max_line_index;description;type;unit;default_value;min_value;max_value;access_path;successful_readings;is_in_opc_data
aaAccPercent;Current acceleration value in percent;$AA_ACC_PERCENT[Achse];;200;Axis Number;numMachAxes;Current acceleration value for single-axis interpolation in percent;TYPE_UWORD;No unit;0;0.0;;/Channel/MachineAxis/aaAccPercent[u<Channel numb>, <Line Index>];"/Channel/MachineAxis/aaAccPercent[u1, 1]
/Channel/MachineAxis/aaAccPercent[u1, 2]
/Channel/MachineAxis/aaAccPercent[u1, 3]
/Channel/MachineAxis/aaAccPercent[u1, 4]
/Channel/MachineAxis/aaAccPercent[u1, 5]
/Channel/MachineAxis/aaAccPercent[u1, 6]
/Channel/MachineAxis/aaAccPercent[u1, 7]
/Channel/MachineAxis/aaAccPercent[u1, 8]
/Channel/MachineAxis/aaAccPercent[u1, 9]
/Channel/MachineAxis/aaAccPercent[u1, 10]
/Channel/MachineAxis/aaAccPercent[u1, 11]
/Channel/MachineAxis/aaAccPercent[u1, 12]
/Channel/MachineAxis/aaAccPercent[u1, 13]
/Channel/MachineAxis/aaAccPercent[u1, 14]
/Channel/MachineAxis/aaAccPercent[u1, 15]
/Channel/MachineAxis/aaAccPercent[u1, 16]
/Channel/MachineAxis/aaAccPercent[u1, 17]
/Channel/MachineAxis/aaAccPercent[u1, 18]
/Channel/MachineAxis/aaAccPercent[u1, 19]
/Channel/MachineAxis/aaAccPercent[u1, 20]";True
actToolLength3;Active tool length 3;$P_TOOLL[3];;30;;;"The variable returns the active tool length 3. 
The value corresponds to the value in $TC_DP5 including the active tool offsets, but irrespective of the selected machining plane (G17, G18 or G19) and setting data, such as SD42940 $SC_TOOL_LENGTH_CONST.";TYPE_DOUBLE;Linear position (mm, inch or user defined);;;;/Channel/State/actToolLength3[u<Channel numb>];/Channel/State/actToolLength3[u1];True
actToolToolCarrierLength;Contribution of tool carrier to the tool length;;;373;"Component
1";15;"Returns the components of the contribution of the orientable tool carrier (ToolCarrier) to the length of the active tool in different coordinate systems.
Both the component and the coordinate system are selected from the line index.
Three indices are required for each coordinate system (lengths L1, L2, L3).
The following assignment applies:
Line indices 1 - 3: Components in the workpiece coordinate system (PCS).
Line indices 4 - 6: Components in the basic coordinate system (BCS).
Line indices 7 - 9: Components in the machine coordinate system (MCS).
Line indices 10 - 12: Components in the tool coordinate system (TCS).
Line indices 13 - 15: Components in the settable zero system (SZS).";TYPE_DOUBLE;Linear position (mm, inch or user defined);;;;/Channel/State/actToolToolCarrierLength[u<Channel numb>, <Line Index>];"/Channel/State/actToolToolCarrierLength[u1, 1]
/Channel/State/actToolToolCarrierLength[u1, 2]
/Channel/State/actToolToolCarrierLength[u1, 3]
/Channel/State/actToolToolCarrierLength[u1, 4]
/Channel/State/actToolToolCarrierLength[u1, 5]
/Channel/State/actToolToolCarrierLength[u1, 6]
/Channel/State/actToolToolCarrierLength[u1, 7]
/Channel/State/actToolToolCarrierLength[u1, 8]
/Channel/State/actToolToolCarrierLength[u1, 9]
/Channel/State/actToolToolCarrierLength[u1, 10]
/Channel/State/actToolToolCarrierLength[u1, 11]
/Channel/State/actToolToolCarrierLength[u1, 12]
/Channel/State/actToolToolCarrierLength[u1, 13]
/Channel/State/actToolToolCarrierLength[u1, 14]
/Channel/State/actToolToolCarrierLength[u1, 15]";True
maxCycleTimeBrut;Maximum gross cycle time;;;6;See description below;100;"Maximum gross run time in ms.

Line index:
Selects a specific SW task on the NCK:
Line index 1: SERVO
Line index 2: IPO
Line index 3: VL
Line index 4: PLC
Line index 5: SYNACT
Line index 6: COS
Line index 7: DRIVE (low prior.)
Line index 8: EXCOM (domain services)
Line index 9: Reserved
Line index 10: Reserved
Line index 11: INT (compile cycles in the interpreter)
Line index 100: ALL (all tasks, only for write accesses)
Line index 12: EES (EES - async. - subtask)
Line index 13: PREPJOB (non-cyclic task on an auxiliary core)";TYPE_DOUBLE;Time (ms);;;;/Channel/ChannelDiagnose/maxCycleTimeBrut[u<Channel numb>, <Line Index>];"/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 1]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 2]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 3]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 4]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 5]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 6]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 7]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 8]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 9]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 10]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 11]
/Channel/ChannelDiagnose/maxCycleTimeBrut[u1, 100]";True
actToolLength2;Active tool length 2;$P_TOOLL[2];;29;;;"The variable returns the active tool length 2. 
The value corresponds to the value in $TC_DP4 including the active tool offsets, but irrespective of the selected machining plane (G17, G18 or G19) and setting data, such as SD42940 $SC_TOOL_LENGTH_CONST.";TYPE_DOUBLE;Linear position (mm, inch or user defined);;;;/Channel/State/actToolLength2[u<Channel numb>];/Channel/State/actToolLength2[u1];True
actCycleTimeBrut;Current gross cycle time;;;4;See description below;13;"Current gross run time in ms.

Line index:
Selects a specific SW task on the NCK:
Line index 1: SERVO
Line index 2: IPO
Line index 3: VL
Line index 4: PLC
Line index 5: SYNACT
Line index 6: COS
Line index 7: DRIVE (low prior.)
Line index 8: EXCOM (domain services)
Line index 9: Reserved
Line index 10: Reserved
Line index 11: INT (compile cycles in the interpreter)
Line index 12: EES (EES async. - subtask)
Line index 13: PREPJOB (non-cyclic task on an auxiliary core)";TYPE_DOUBLE;Time (ms);;;;/Channel/ChannelDiagnose/actCycleTimeBrut[u<Channel numb>, <Line Index>];"/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 1]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 2]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 3]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 4]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 5]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 6]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 7]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 8]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 9]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 10]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 11]
/Channel/ChannelDiagnose/actCycleTimeBrut[u1, 100]";True
actTNumber;Active tool number;$P_TOOLNO;;23;;;"The command should not be used if magazine management (TMMG=1) is active.
If magazine management is active, GETTEXET should be used instead.
For $MC_CUTTING_EDGE_DEFAULT=0 or -2, an incorrect T number may be determined.
If the programming is made after programming D > 0, it is also safe.";TYPE_UWORD;No unit;;0.0;32000;/Channel/State/actTNumber[u<Channel numb>];/Channel/State/actTNumber[u1];True
actToolIdent;Identifier of active tool;;;33;;1;Identifier of active tool;TYPE_STRING;No unit;'\0';;;/Channel/State/actToolIdent[u<Channel numb>];/Channel/State/actToolIdent[u1];True
actToolLength1;Active tool length 1;$P_TOOLL[1];;28;;;"The variable returns the active tool length 1. 
The value corresponds to the value in $TC_DP3 including the active tool offsets, but irrespective of the selected machining plane (G17, G18 or G19) and setting data, such as SD42940 $SC_TOOL_LENGTH_CONST.";TYPE_DOUBLE;Linear position (mm, inch or user defined);;;;/Channel/State/actToolLength1[u<Channel numb>];/Channel/State/actToolLength1[u1];True
splitBlock;Identifies splitted blocks;$AC_SPLITBLOCK;;223;1;1;"Identifier of internally splitted blocks

Value Range:
0: A BLOCK programmed unchanged
(a BLOCK generated by the compressor is regarded as programmed BLOCK):
<>0: BLOCK was shortened or is an internally generated BLOCK; the following values are possible:
1: It is an internally generated BLOCK or a shortened original BLOCK
3: It is the last block in a chain of internally generated
blocks or shortened original blocks.";TYPE_DWORD;No unit;0;0.0;2;/Channel/State/splitBlock[u<Channel numb>, <Line Index>];/Channel/State/splitBlock[u1, 1];False
